time_stamp,state,optimal_action,value
51,60,B,19.8652
51,61,B,19.8652
51,62,B,19.8652
51,63,B,19.8652
51,64,B,19.8652
51,65,B,19.8652
51,66,B,19.8652
51,67,B,19.8652
51,68,B,19.8652
51,69,B,19.8652
51,70,B,19.8652
51,71,B,19.8652
51,72,B,19.8652
51,73,B,19.8652
51,74,B,19.8652
51,75,B,19.8652
51,76,B,19.8652
51,77,B,19.8652
51,78,B,19.8652
51,79,B,19.8652
51,80,B,19.8652
51,81,B,19.8652
51,82,B,19.8652
51,83,B,19.8652
51,84,B,19.8652
51,85,B,19.8652
51,86,B,19.8652
51,87,B,19.8652
51,88,B,19.8652
51,89,B,19.8652
51,90,B,19.8652
51,91,B,19.8652
51,92,B,19.8652
51,93,B,19.8652
51,94,B,19.8652
51,95,B,19.8652
51,96,B,19.8652
51,97,B,19.8652
51,98,B,19.8652
51,99,B,19.8652
51,100,None,-100.0
52,0,AM,47.38837099999999
52,1,AM,46.89614799999999
52,2,AM,46.89614799999999
52,3,B,27.6651
52,4,B,27.6651
52,5,B,27.6651
52,6,B,27.6651
52,7,B,27.6651
52,8,B,27.6651
52,9,B,19.366
52,10,B,19.366
52,11,B,19.366
52,12,B,19.366
52,13,B,19.366
52,14,B,19.366
52,15,B,19.366
52,16,B,19.366
52,17,B,19.366
52,18,B,19.366
52,19,B,19.366
52,20,B,19.366
52,21,B,19.366
52,22,B,19.366
52,23,B,19.366
52,24,B,19.366
52,25,B,19.366
52,26,B,19.366
52,27,B,19.366
52,28,B,19.366
52,29,B,19.366
52,30,B,19.366
52,31,B,19.366
52,32,B,19.366
52,33,B,19.366
52,34,B,19.366
52,35,B,19.366
52,36,B,19.366
52,37,B,19.366
52,38,B,19.366
52,39,B,19.366
52,40,B,19.366
52,41,B,19.366
52,42,B,19.366
52,43,B,19.366
52,44,B,19.366
52,45,B,19.366
52,46,B,19.366
52,47,B,19.366
52,48,B,19.366
52,49,B,19.366
52,50,B,19.366
52,51,B,19.366
52,52,B,19.366
52,53,B,19.366
52,54,B,19.366
52,55,B,19.366
52,56,B,19.366
52,57,B,19.366
52,58,B,19.366
52,59,B,19.366
52,60,B,19.366
52,61,B,19.366
52,62,B,19.366
52,63,B,19.366
52,64,B,19.366
52,65,B,19.366
52,66,B,19.366
52,67,B,19.366
52,68,B,19.366
52,69,B,19.366
