Time Step,State,Action,Q-Value
42,45,B,5.307604
42,46,AM,0.0
42,46,B,1.0
42,47,AM,0.18432700000000002
42,47,B,3.26716
42,48,AM,0.0
42,48,B,1.0
42,49,AM,0.18432700000000002
42,49,B,3.26716
42,50,AM,0.0
42,50,B,5.307604
42,51,AM,0.0
42,51,B,1.0
42,52,AM,0.0
42,52,B,1.0
42,53,AM,0.18432700000000002
42,53,B,5.307604
42,54,AM,0.18432700000000002
42,54,B,3.26716
42,55,AM,0.0
42,55,B,1.0
42,56,AM,0.0
42,56,B,1.0
42,57,AM,0.0
42,57,B,1.0
42,58,AM,0.0
42,58,B,1.0
42,59,AM,0.0
42,59,B,1.0
42,60,AM,0.0
42,60,B,1.0
42,61,AM,0.0
42,61,B,1.0
42,62,AM,0.0
42,62,B,1.0
42,63,AM,0.0
42,63,B,1.0
42,64,AM,0.0
42,64,B,1.0
42,65,AM,0.0
42,65,B,1.0
42,66,AM,0.0
42,66,B,1.0
42,67,AM,0.0
42,67,B,1.0
42,68,AM,0.0
42,68,B,1.0
42,69,AM,0.0
42,69,B,1.0
42,70,AM,0.0
42,70,B,1.0
42,71,AM,0.0
42,71,B,1.0
42,72,AM,0.0
42,72,B,1.0
42,73,AM,0.0
42,73,B,1.0
42,74,AM,0.0
42,74,B,1.0
42,75,AM,0.0
42,75,B,1.0
42,76,AM,0.0
42,76,B,1.0
42,77,AM,0.0
42,77,B,1.0
42,78,AM,0.0
42,78,B,1.0
42,79,AM,0.0
42,79,B,1.0
42,80,AM,0.0
42,80,B,1.0
42,81,AM,0.0
42,81,B,1.0
42,82,AM,0.0
42,82,B,1.0
42,83,AM,0.0
42,83,B,1.0
42,84,AM,0.0
42,84,B,1.0
42,85,AM,0.0
42,85,B,1.0
42,86,AM,0.0
42,86,B,1.0
42,87,AM,0.0
42,87,B,1.0
42,88,AM,0.0
42,88,B,1.0
42,89,AM,0.0
42,89,B,1.0
42,90,AM,0.0
42,90,B,1.0
42,91,AM,0.0
42,91,B,1.0
42,92,AM,0.0
42,92,B,1.0
42,93,AM,0.0
42,93,B,1.0
42,94,AM,0.0
42,94,B,1.0
42,95,AM,0.0
42,95,B,1.0
42,96,AM,0.0
42,96,B,1.0
42,97,AM,0.0
42,97,B,1.0
42,98,AM,0.0
42,98,B,1.0
42,99,AM,0.0
42,99,B,1.0
42,100,AM,-9.999999999999993
42,100,B,23.671599999999984
43,0,AM,0.0
43,0,B,0.0
43,1,AM,6.255500021820668
43,1,B,9.400149900000002
43,2,AM,1.40712734614
43,2,B,19.755326933451002
43,3,AM,1.7000986135616842
43,3,B,32.87156929879433
43,4,AM,1.8950143213005877
43,4,B,33.61496537424506
43,5,AM,2.72455565474612
43,5,B,22.875077042669556
43,6,AM,8.35451050504546
43,6,B,23.152850307595077
43,7,AM,5.317144730266984
43,7,B,23.028939263770017
43,8,AM,3.681973689223583
43,8,B,23.043045337393014
43,9,AM,7.4611038193480965
43,9,B,23.10927797843453
43,10,AM,9.090230113844552
43,10,B,22.93111240456234
43,11,AM,9.890426500546678
43,11,B,23.10253108714948
43,12,AM,6.451073185814055
43,12,B,22.995850942925948
43,13,AM,5.458202675701694
43,13,B,22.230188021038458
43,14,AM,5.642558026839226
43,14,B,22.842307825188396
43,15,AM,6.392026954173199
43,15,B,22.230188021038458
43,16,AM,4.167606432502927
43,16,B,21.40157795698574
43,17,AM,1.9956961330810004
43,17,B,20.47464556772708
43,18,AM,1.2199034722300002
43,18,B,18.098215112735147
43,19,AM,0.499479829
43,19,B,14.58088775887
43,20,AM,0.18430990000000003
43,20,B,13.6265419543
43,21,AM,0.0
43,21,B,7.008070000000001
43,22,AM,0.35018881
43,22,B,3.217
43,23,AM,0.3793273000000001
43,23,B,3.217
43,24,AM,0.35018881
43,24,B,12.566157727
43,25,AM,0.0
43,25,B,5.212300000000001
43,26,AM,0.0
43,26,B,10.0788367
43,27,AM,0.5452062100000001
43,27,B,15.439798982983
43,28,AM,0.5452062100000001
43,28,B,14.58088775887
43,29,AM,0.0
43,29,B,7.008070000000001
43,30,AM,0.18430990000000003
43,30,B,10.0788367
43,31,AM,0.5257044700000001
43,31,B,11.38795303
43,32,AM,1.3378545601000003
43,32,B,13.6265419543
43,33,AM,0.7760094307000001
43,33,B,12.566157727
43,34,AM,1.3614567370000001
43,34,B,5.212300000000001
43,35,AM,0.5452062100000001
43,35,B,15.439798982983
43,36,AM,0.5452062100000001
43,36,B,11.38795303
43,37,AM,0.8700128890000001
43,37,B,8.624263000000001
43,38,AM,0.7207218700000002
43,38,B,16.908537176216228
43,39,AM,0.5452062100000001
43,39,B,14.58088775887
43,40,AM,1.8037562002000003
43,40,B,16.2128190846847
43,41,AM,1.45878028549
43,41,B,17.534683458594607
43,42,AM,1.7325892794400004
43,42,B,14.58088775887
43,43,AM,1.0279769830000003
43,43,B,16.908537176216228
43,44,AM,1.7773722036070005
43,44,B,18.098215112735147
43,45,AM,2.3795354378500004
43,45,B,19.06185424131547
43,46,AM,1.6142151988294002
43,46,B,14.58088775887
43,47,AM,2.9765267855458006
43,47,B,18.098215112735147
43,48,AM,2.5801632808810004
43,48,B,17.534683458594607
43,49,AM,1.5036244216
43,49,B,12.566157727
43,50,AM,2.5659465124210006
43,50,B,20.47464556772708
43,51,AM,1.4958186541000003
43,51,B,19.472668817183923
43,52,AM,2.8090532530870007
43,52,B,18.605393601461632
43,53,AM,1.3203029941000002
43,53,B,20.175161741918977
43,54,AM,2.42190624733621
43,54,B,14.58088775887
43,55,AM,2.31494567497
43,55,B,20.175161741918977
43,56,AM,2.7648354060529003
43,56,B,20.47464556772708
43,57,AM,1.0279769830000003
43,57,B,16.2128190846847
43,58,AM,3.4300151929915215
43,58,B,18.605393601461632
43,59,AM,3.3635528570986004
43,59,B,20.47464556772708
43,60,AM,3.0877438518511005
43,60,B,18.098215112735147
43,61,AM,3.8068913515459846
43,61,B,19.84240193546553
43,62,AM,2.3100446801410004
43,62,B,20.175161741918977
43,63,AM,1.88686298023
43,63,B,18.098215112735147
43,64,AM,4.049615661140411
43,64,B,20.175161741918977
43,65,AM,3.2979679204264003
43,65,B,19.06185424131547
43,66,AM,4.755903296556365
43,66,B,18.605393601461632
43,67,AM,0.9915515404810001
43,67,B,20.175161741918977
43,68,AM,0.3793273000000001
43,68,B,18.098215112735147
43,69,AM,1.3614567370000001
43,69,B,15.439798982983
43,70,AM,0.5452062100000001
43,70,B,14.58088775887
43,71,AM,0.18430990000000003
43,71,B,11.38795303
43,72,AM,0.5452062100000001
43,72,B,10.0788367
43,73,AM,0.0
43,73,B,1.0
43,74,AM,0.0
43,74,B,3.217
43,75,AM,0.0
43,75,B,3.217
43,76,AM,0.0
43,76,B,3.217
43,77,AM,0.0
43,77,B,1.0
43,78,AM,0.0
43,78,B,1.0
43,79,AM,0.0
43,79,B,1.0
43,80,AM,0.18430990000000003
43,80,B,1.0
43,81,AM,0.0
43,81,B,1.0
43,82,AM,0.0
43,82,B,1.0
43,83,AM,0.3793273000000001
43,83,B,1.0
43,84,AM,0.0
43,84,B,1.0
43,85,AM,0.0
43,85,B,3.217
43,86,AM,0.0
43,86,B,3.217
43,87,AM,0.0
43,87,B,1.0
43,88,AM,0.18430990000000003
43,88,B,3.217
43,89,AM,0.0
43,89,B,1.0
43,90,AM,0.0
43,90,B,1.0
43,91,AM,0.0
43,91,B,1.0
43,92,AM,0.0
43,92,B,1.0
43,93,AM,0.0
43,93,B,1.0
43,94,AM,0.0
43,94,B,1.0
43,95,AM,0.0
43,95,B,1.0
43,96,AM,0.0
43,96,B,1.0
43,97,AM,0.0
43,97,B,1.0
43,98,AM,0.0
43,98,B,1.0
43,99,AM,0.0
43,99,B,1.0
43,100,AM,-9.999999999999993
43,100,B,23.169999999999987
44,0,AM,0.0
44,0,B,0.0
44,1,AM,1.7765142049999998
44,1,B,0.0
44,2,AM,2.108036902205
44,2,B,0.0
44,3,AM,2.151451896763745
44,3,B,3.3805
44,4,AM,1.9597474029845001
44,4,B,23.19663279917755
44,5,AM,0.1842927
44,5,B,11.153017547400001
44,6,AM,0.9957519752999999
44,6,B,15.868763717564228
44,7,AM,1.1500652373
44,7,B,19.054888206226053
44,8,AM,2.822698352463
44,8,B,13.340978213394001
44,9,AM,0.3748029
44,9,B,12.304575792660001
44,10,AM,0.866438772
44,10,B,14.2737403920546
44,11,AM,0.54066633
44,11,B,5.117034
44,12,AM,0.54066633
44,12,B,5.117034
44,13,AM,0.0
44,13,B,3.1668600000000002
44,14,AM,0.35015613
44,14,B,1.0
44,15,AM,0.1842927
44,15,B,3.1668600000000002
44,16,AM,0.0
44,16,B,3.1668600000000002
44,17,AM,0.0
44,17,B,3.1668600000000002
44,18,AM,0.1842927
44,18,B,5.117034
44,19,AM,0.1842927
44,19,B,1.0
44,20,AM,0.0
44,20,B,5.117034
44,21,AM,0.35015613
44,21,B,1.0
44,22,AM,0.0
44,22,B,6.872190600000001
44,23,AM,0.0
44,23,B,3.1668600000000002
44,24,AM,0.0
44,24,B,5.117034
44,25,AM,0.0
44,25,B,5.117034
44,26,AM,0.88358469
44,26,B,5.117034
44,27,AM,0.0
44,27,B,6.872190600000001
44,28,AM,0.35015613
44,28,B,3.1668600000000002
44,29,AM,0.0
44,29,B,9.873508386000001
44,30,AM,0.35015613
44,30,B,5.117034
44,31,AM,0.1842927
44,31,B,6.872190600000001
44,32,AM,0.0
44,32,B,6.872190600000001
44,33,AM,0.1842927
44,33,B,1.0
44,34,AM,0.1842927
44,34,B,5.117034
44,35,AM,0.1842927
44,35,B,6.872190600000001
44,36,AM,0.1842927
44,36,B,8.45183154
44,37,AM,0.1842927
44,37,B,5.117034
44,38,AM,0.0
44,38,B,8.45183154
44,39,AM,0.6337825953
44,39,B,3.1668600000000002
44,40,AM,0.0
44,40,B,8.45183154
44,41,AM,0.35015613
44,41,B,8.45183154
44,42,AM,0.0
44,42,B,6.872190600000001
44,43,AM,0.1842927
44,43,B,11.153017547400001
44,44,AM,1.015715859
44,44,B,6.872190600000001
44,45,AM,0.54066633
44,45,B,9.873508386000001
44,46,AM,0.3748029
44,46,B,6.872190600000001
44,47,AM,1.36339617579
44,47,B,14.2737403920546
44,48,AM,0.499433217
44,48,B,8.45183154
44,49,AM,0.0
44,49,B,6.872190600000001
44,50,AM,0.1842927
44,50,B,8.45183154
44,51,AM,0.1842927
44,51,B,11.153017547400001
44,52,AM,1.0984369730999999
44,52,B,8.45183154
44,53,AM,0.35015613
44,53,B,11.153017547400001
44,54,AM,0.88358469
44,54,B,12.304575792660001
44,55,AM,0.0
44,55,B,8.45183154
44,56,AM,0.0
44,56,B,5.117034
44,57,AM,0.35015613
44,57,B,5.117034
44,58,AM,0.0
44,58,B,6.872190600000001
44,59,AM,0.0
44,59,B,6.872190600000001
44,60,AM,0.0
44,60,B,1.0
44,61,AM,0.0
44,61,B,3.1668600000000002
44,62,AM,0.0
44,62,B,3.1668600000000002
44,63,AM,0.0
44,63,B,3.1668600000000002
44,64,AM,0.0
44,64,B,1.0
44,65,AM,0.1842927
44,65,B,3.1668600000000002
44,66,AM,0.0
44,66,B,1.0
44,67,AM,0.0
44,67,B,3.1668600000000002
44,68,AM,0.0
44,68,B,1.0
44,69,AM,0.0
44,69,B,1.0
44,70,AM,0.1842927
44,70,B,1.0
44,71,AM,0.0
44,71,B,3.1668600000000002
44,72,AM,0.0
44,72,B,3.1668600000000002
44,73,AM,0.1842927
44,73,B,1.0
44,74,AM,0.1842927
44,74,B,6.872190600000001
